"","X","head_neck","shoulder_arm","hand","pelvis","leg","foot","trunk"
"1","total",0.296296296296296,0.148148148148148,0.259259259259259,0.037037037037037,0.037037037037037,0.111111111111111,0.111111111111111
"2","wo DJD",0.304347826086957,0.173913043478261,0.304347826086957,0.0434782608695652,0,0.130434782608696,0.0434782608695652
"3","wo Shan",0.285714285714286,0.19047619047619,0.238095238095238,0.0476190476190476,0.0476190476190476,0.142857142857143,0.0476190476190476
"4","wo Shan & DJD",0.277777777777778,0.222222222222222,0.277777777777778,0.0555555555555556,0,0.166666666666667,0
